id;series;booktitle;year;title;abstract;authors;pdf1page;pdfarticle;MS;place;Latitude;Longitude
1198;Revue des Nouvelles Technologies de l'Information;EGC;2017;Classification ascendante hiérarchique à noyaux et une application aux données textuelles;"La formule de Lance etWilliams permet d'unifier plusieurs méthodesde classification ascendante hiérarchique (CAH). Dans cet article, nous suppo-sons que les données sont représentées dans un espace euclidien et nous établis-sons une nouvelle expression de cette formule en utilisant les similarités cosinusau lieu des distances euclidiennes au carré. Notre approche présente les avan-tages suivants. D'une part, elle permet d'étendre naturellement les méthodesclassiques de CAH aux fonctions noyau. D'autre part, elle permet d'appliquerdes méthodes d'écrêtage permettant de rendre la matrice de similarités creuseafin d'améliorer la complexité de la CAH. L'application de notre approche surdes tâches de classification automatique de données textuelles montre d'une part,que le passage à l'échelle est amélioré en mémoire et en temps de traitement;d'autre part, que la qualité des résultats est préservée voire améliorée.";Julien Ah-Pine, Xinyu Wang;http://editions-rnti.fr/render_pdf.php?p1&p=1002306;http://editions-rnti.fr/render_pdf.php?p=1002306;8;Grenoble;45.188539;5.724534
1199;Revue des Nouvelles Technologies de l'Information;EGC;2017;Classification d'objets 3D par extraction aléatoire de sous-parties discriminantes pour l'étude du sous-sol en prospection pétrolière;Dans cet article, nous proposons une nouvelle approche de classifi-cation d'objets 3D inspirée des Time Series Shapelets de Ye et Keogh (2009).L'idée est d'utiliser des sous-surfaces discriminantes pour la classification concer-née afin de prendre en compte la nature locale des éléments pertinents. Celapermet à l'utilisateur d'avoir connaissance des sous-parties qui ont été utilespour déterminer l'appartenance d'un objet à une classe. Les résultats obtenusconfirment l'intérêt de la sélection aléatoire de caractéristiques candidates pourla pré-sélection d'attributs en classification supervisée.;François Meunier, Christophe Marsala, Laurent Castanié, Bruno Conche;http://editions-rnti.fr/render_pdf.php?p1&p=1002283;http://editions-rnti.fr/render_pdf.php?p=1002283;8;Grenoble;45.188540;5.724535
1200;Revue des Nouvelles Technologies de l'Information;EGC;2017;Classification multi-labels graduée: Apprendre les relations entre les labels ou limiter la propagation d'erreur ?;La classification multi-labels graduée est la tâche d'affecter àchaque donnée l'ensemble des labels qui lui correspondent selon une échellegraduelle de degrés d'appartenance. Les labels peuvent donc avoir à la foisdes relations d'ordre et de co-occurrence.D'un côté, le fait d'ignorer les relations entre les labels risque d'aboutirà des prédictions incohérentes, et d'un autre côté, le fait de prendre encompte ces relations risque de propager l'erreur de prédiction d'un labelà tous les labels qui lui sont reliés.Les approches de l'état d'art permettent soit d'ignorer les relations entreles labels, soit d'apprendre uniquement les relations correspondant à unestructure de dépendance figée. L'approche que nous proposons permetl'apprentissage des relations entre les labels sans fixer une structure dedépendance au préalable. Elle est basée sur un ensemble de classifieursmono-labels, un pour chaque label. L'idée est d'apprendre d'abord toutesles relations entre les labels y compris les relations cycliques. Ensuite lesdépendances cycliques sont résolues en supprimant les relations d'intérêtminimal. Des mesures sont proposées pour évaluer l'intérêt d'apprendrechaque relation. Ces mesures permettent d'agir sur le compromis entrel'apprentissage de relations pour une prédiction cohérente et la minimisa-tion du risque de la propagation d'erreur de prédiction.;Khalil Laghmari, Christophe Marsala, Mohammed Ramdani;http://editions-rnti.fr/render_pdf.php?p1&p=1002302;http://editions-rnti.fr/render_pdf.php?p=1002302;13;Grenoble;45.188541;5.724536
1201;Revue des Nouvelles Technologies de l'Information;EGC;2017;Classification parcimonieuse pour l'aide à la reconnaissance de cibles radar;Dans le présent papier, nous proposons l'étude et l'application d'unenouvelle approche pour l'aide à la reconnaissance automatique de cibles (ATR,pour Automatic Target Recognition) à partir des images à synthèse d'ouvertureinverse (ISAR, pour Inverse Synthetic Aperture Radar). Cette approche est com-posée de deux phases principales. Dans la première phase, nous utilisons deuxméthodes statistiques pour extraire les caractéristiques discriminants à partir desimages ISAR. Nous nous intéressons dans ce travail aux deux descripteurs multi-échelles issus des deux méthodes SIFT (Scale-Invariant Feature Transform) etla décomposition en ondelettes complexes DT-CWT (Dual-Tree Complex Wa-velet Transform) qui sont calculées disjointement. Ensuite, nous modélisons sé-parément les descripteurs issus des deux méthodes précédentes (SIFT et DT-CWT) par la loi Gamma. Les paramètres statistiques estimés sont utilisés pourla deuxième phase dédiée à la classification. Dans cette deuxième phase, uneclassification parcimonieuse (SRC, pour Sparse Representation-based Classifi-cation) est proposée. Afin d'évaluer et valider notre approche, nous avons eurecours aux données réelles d'images issues d'une chambre anéchoïque. Les ré-sultats expérimentaux montrent que l'approche proposée peut atteindre un tauxde reconnaissance élevé et dépasse largement l'utilisation du même descripteuravec le classifieur machine à vecteurs de support (SVM, pour Support VectorMachine).;Ayoub Karine, Abdelmalek Toumi, Ali Khenchaf, Mohammed El Hassouni;http://editions-rnti.fr/render_pdf.php?p1&p=1002305;http://editions-rnti.fr/render_pdf.php?p=1002305;2;Grenoble;45.188542;5.724537
1202;Revue des Nouvelles Technologies de l'Information;EGC;2017;Co-clustering de données mixtes à base des modèles de mélange;La classification croisée (co-clustering) est une technique non super-visée qui permet d'extraire la structure sous-jacente existante entre les lignes etles colonnes d'une table de données sous forme de blocs. Plusieurs approchesont été étudiées et ont démontré leur capacité à extraire ce type de structure dansune table de données continues, binaires ou de contingence. Cependant, peu detravaux ont traité le co-clustering des tables de données mixtes. Dans cet article,nous étendons l'utilisation du co-clustering par modèles à blocs latents au casdes données mixtes (variables continues et variables binaires). Nous évaluonsl'efficacité de cette extension sur des données simulées et nous discutons seslimites potentielles.;Aichetou Bouchareb, Marc Boullé, Fabrice Rossi;http://editions-rnti.fr/render_pdf.php?p1&p=1002276;http://editions-rnti.fr/render_pdf.php?p=1002276;2;Grenoble;45.188543;5.724538
1203;Revue des Nouvelles Technologies de l'Information;EGC;2017;Comparaison et Évaluation de Mesures de Similarité entre Concepts d'un Treillis;Cet article se situe dans le cadre de l'analyse de concepts formels(ACF) qui fournit des classes (les extensions) d'objets partageant des carac-tères similaires (les intensions), une description par des attributs étant associéeà chaque classe. Dans un article récent, une nouvelle mesure de similarité entredeux concepts dans un treillis de concepts a été introduite, permettant une nor-malisation par la taille du treillis. Dans cet article, nous comparons cette mesurede similarité avec des mesures existantes, soit basées sur la cardinalité des en-sembles ou issues de la conception d'ontologies et basées sur la structure hiérar-chique du treillis. Une comparaison statistique avec des méthodes existantes esteffectuée et testée pour leur consistance.;Florent Domenach, George Portides;http://editions-rnti.fr/render_pdf.php?p1&p=1002289;http://editions-rnti.fr/render_pdf.php?p=1002289;2;Grenoble;45.188544;5.724539
1204;Revue des Nouvelles Technologies de l'Information;EGC;2017;Conception d'un modèle généraliste pour l'évaluation d'un test A/B;;Emmanuelle Claeys, Pierre Gançarski, Myriam Maumy-Bertrand, Hubert Wassner;http://editions-rnti.fr/render_pdf.php?p1&p=1002309;http://editions-rnti.fr/render_pdf.php?p=1002309;11;Grenoble;45.188545;5.724540
1205;Revue des Nouvelles Technologies de l'Information;EGC;2017;Découverte de sous-groupes avec les arbres de recherche de Monte Carlo;Découvrir des règles qui distinguent clairement une classe d'une autrereste un problème difficile. De tels motifs permettent de suggérer des hypothèsespouvant expliquer une classe. La découverte de sous-groupes (Subgroup Disco-very, SD), un cadre qui définit formellement cette tâche d'extraction de motifs,est toujours confrontée à deux problèmes majeurs: (i) définir des mesures dequalité appropriées qui caractérisent la singularité d'un motif et (ii) choisir uneheuristique d'exploration de l'espace de recherche correcte lorsqu'une énuméra-tion complète est irréalisable. À ce jour, les algorithmes de SD les plus efficacessont basés sur une recherche en faisceau (Beam Search, BS). La collection demotifs extraits manque cependant de diversité en raison de la nature gloutonne del'exploration. Nous proposons ici d'utiliser une technique d'exploration récente,la recherche arborescente de Monte Carlo (Monte Carlo Tree Search, MCTS).Le compromis entre l'exploitation et l'exploration ainsi que la puissance de larecherche aléatoire permettent d'obtenir une solution disponible à tout momentet de surpasser généralement les approches de type BS. Notre étude empirique,avec plusieurs mesures de qualité, sur divers jeux de données de référence et dumonde réel démontre la qualité de notre approche.;Guillaume Bosc, Jean-François Boulicaut, Chedy Raïssi, Mehdi Kaytoue;http://editions-rnti.fr/render_pdf.php?p1&p=1002287;http://editions-rnti.fr/render_pdf.php?p=1002287;3;Grenoble;45.188546;5.724541
1206;Revue des Nouvelles Technologies de l'Information;EGC;2017;Deep Dive on Smart Cities by Scaling Reasoning and Interpreting the Semantics of IoT;Modern cities are facing tremendous amount of information, captured from internal in-frastructures and/or exogenous sensors, humanincluded. This talk presents how big and het-erogenous city data has been captured, represented, unified to serve one of the most pressingcity objective: improving quality of city, in particular how understanding and reducing traf-fic congestion. We will also present lessons learnt from the deployment of our system andexperimentation in Dublin (Ireland), Bologna (Italy), Miami (USA) and Rio (Brazil).;Freddy Lécué;http://editions-rnti.fr/render_pdf.php?p1&p=1002264;http://editions-rnti.fr/render_pdf.php?p=1002264;0;Grenoble;45.188547;5.724542
1207;Revue des Nouvelles Technologies de l'Information;EGC;2017;Défi EGC 2017: Modélisation Cost-Sensitive et Enrichissement de données;La conférence EGC'2017 propose un défi dont le contexte est la gestiondes espaces verts pour la ville de Grenoble, et notamment des arbres qui ysont présents. L'objectif est de proposer un modèle basé sur des données fourniesqui permettrait de prédire au mieux les arbres malades, ainsi que la localisationpotentielle de la maladie. Après avoir obtenu quelques résultats intéressantsavec des modèles standards, notre approche utilisant un modèle Cost-SensitiveOne Against All (CSOAA) nous permet d'obtenir une exactitude de 0,86, uneprécision de 0,88, et un rappel de 0,91 sur la prédiction unilabel, et une précision/rappel micro de 0,82/0,74 ainsi qu'une précision/rappel macro de 0,66/0,46pour la prédiction multilabel. L'extraction de connaissances pour la tâche 2 nousa permis de mettre en relief l'intérêt de l'ajout de données sur la nature des maladieset la concentration de la pollution dans la ville.;Vincent Levorato, Michel Lutz, Matthieu Lagacherie;http://editions-rnti.fr/render_pdf.php?p1&p=1002268;http://editions-rnti.fr/render_pdf.php?p=1002268;9;Grenoble;45.188548;5.724543
1208;Revue des Nouvelles Technologies de l'Information;EGC;2017;Description interactive de l'intérêt de l'utilisateur via l'échantillonnage de motifs;La plupart des méthodes d'extraction de motifs requièrent que l'uti-lisateur formalise son intérêt avec une mesure d'intérêt et des seuils. L'utili-sateur est souvent incapable d'expliciter son intérêt mais il saura juger si unmotif donné est pertinent ou non. Dans cet article, nous proposons une nou-velle méthode de découverte de motifs interactive en supposant que seule unepartie des données est intéressante pour l'utilisateur. En intégrant le retour utili-sateur de motifs proposés un à un, notre méthode vise à échantillonner des mo-tifs avec une probabilité proportionnelle à leur fréquence d'apparition au seindes transactions implicitement préférées par l'utilisateur. Nous démontrons quenotre méthode identifie exactement les transactions implicitement préférées parl'utilisateur sous réserve de la consistance de ses retours. Des expérimentationsmontrent les bonnes performances de l'approche en terme de précision et rappel.;Moditha Hewasinghage, Suela Isaj, Arnaud Giacometti, Arnaud Soulet;http://editions-rnti.fr/render_pdf.php?p1&p=1002332;http://editions-rnti.fr/render_pdf.php?p=1002332;13;Grenoble;45.188549;5.724544
1209;Revue des Nouvelles Technologies de l'Information;EGC;2017;Détection de fausses informations dans les réseaux sociaux : vers des approches multi-modales;;Cédric Maigrot, Vincent Claveau, Ewa Kijak;http://editions-rnti.fr/render_pdf.php?p1&p=1002316;http://editions-rnti.fr/render_pdf.php?p=1002316;11;Grenoble;45.188550;5.724545
1210;Revue des Nouvelles Technologies de l'Information;EGC;2017;Enhanced user-user collaborative filtering recommendation algorithm based on semantic ratings;;Wen Zhang, Raja Chiky, Manuel Pozo;http://editions-rnti.fr/render_pdf.php?p1&p=1002318;http://editions-rnti.fr/render_pdf.php?p=1002318;11;Grenoble;45.188551;5.724546
1211;Revue des Nouvelles Technologies de l'Information;EGC;2017;Evolution temporelle de communautés représentatives : mesures et visualisation;La problématique de ce papier est d'identifier dans un graphe dyna-mique les communautés les plus représentatives sur une période donnée, de me-surer leur stabilité, et d'en visualiser les évolutions majeures. Notre cas d'usageconcerne l'étude de la visibilité médiatique des communautés et des individusgrâce aux données relatives aux émissions télévisuelles et radiophoniques entre2011 et 2015. A partir d'une détection de communautés sur l'intégralité de lapériode, nous proposons des mesures de stabilité et d'activité des communautéset proposons une visualisation de leur évolution temporelle.;Haolin Ren, Marie-Luce Viaud, Guy Melançon;http://editions-rnti.fr/render_pdf.php?p1&p=1002308;http://editions-rnti.fr/render_pdf.php?p=1002308;6;Grenoble;45.188552;5.724547
1212;Revue des Nouvelles Technologies de l'Information;EGC;2017;Expression des connaissances en langage naturel : singularité et normalité d'une sélection;;Jérémy Vizzini, Cyril Labbé, François Portet;http://editions-rnti.fr/render_pdf.php?p1&p=1002319;http://editions-rnti.fr/render_pdf.php?p=1002319;11;Grenoble;45.188553;5.724548
1213;Revue des Nouvelles Technologies de l'Information;EGC;2017;Extraction automatique de paysages en imagerie satellitaire et enrichissement sémantique;Nous présentons ici une méthode originale pour l'automatisation dela détection de paysages dans une image satellite. Deux enjeux majeurs ap-paraissent dans ce processus. Le premier réside dans la faculté à prendre encompte l'ensemble des connaissances expertes tout au long du travail d'analysede l'image. Le second est de réussir à structurer et pérenniser ces connaissancesde façon à les rendre interopérables et exploitables dans le cadre du web de don-nées. Nous présentons en quoi la collaboration de plusieurs stratégies alliant lestraitements de l'image, le calcul de caractéristiques spécifiques et la program-mation logique inductive (PLI), vient alimenter le processus d'automatisation,et comment l'intégration de la connaissance, au travers de la construction d'on-tologies dédiées, permet de répondre pleinement à ces enjeux.;Anne Toulet, Emmanuel Roux, Anne-Elisabeth Laques, Eric Delaître, Laurent Demagistri, Isabelle Mougenot;http://editions-rnti.fr/render_pdf.php?p1&p=1002285;http://editions-rnti.fr/render_pdf.php?p=1002285;8;Grenoble;45.188554;5.724549
1214;Revue des Nouvelles Technologies de l'Information;EGC;2017;Extraction de chroniques discriminantes;L'extraction de motifs séquentiels vise à extraire des comportementsrécurrents dans un ensemble de séquences. Lorsque ces séquences sont étique-tées, l'extraction de motifs discriminants engendre des motifs caractéristiquesde chaque classe de séquences. Cet article s'intéresse à l'extraction des chro-niques discriminantes où une chronique est un type de motif temporel représen-tant des durées inter-évènements quantitatives. L'article présente l'algorithmeDCM dont l'originalité réside dans l'utilisation de méthodes d'apprentissageautomatique pour extraire les intervalles temporels. Les performances compu-tationnelles et le pouvoir discriminant des chroniques extraites sont évalués surdes données synthétiques et réelles.;Yann Dauxais, David Gross-Amblard, Thomas Guyet, André Happe;http://editions-rnti.fr/render_pdf.php?p1&p=1002278;http://editions-rnti.fr/render_pdf.php?p=1002278;8;Grenoble;45.188555;5.724550
1215;Revue des Nouvelles Technologies de l'Information;EGC;2017;Extraction de relations pour le peuplement d'une base de connaissance à partir de tweets;Dans une base de connaissance, les entités se veulent pérennes maiscertains événements induisent que les relations entre ces entités sont instables.C'est notamment le cas pour des relations entre organisations, produits, ou marques,entités qui peuvent être rachetées. Dans cet article, nous proposons une approchepermettant d'extraire des relations d'appartenance entre deux entités afin de peu-pler une base de connaissance. L'extraction des relations à partir d'une sourcedynamique d'informations telle que Twitter permet d'atteindre cet objectif entemps réel. L'approche consiste à modéliser les événements en s'appuyant surune ressource lexico-sémantique. Une fois les entités liées au Web des donnéesouvertes (en particulier DBpedia), des règles linguistiques sont appliquées pourfinalement générer les triplets RDF qui représentent les événements.;Cédric Lopez, Elena Cabrio, Frédérique Segond;http://editions-rnti.fr/render_pdf.php?p1&p=1002301;http://editions-rnti.fr/render_pdf.php?p=1002301;8;Grenoble;45.188556;5.724551
1216;Revue des Nouvelles Technologies de l'Information;EGC;2017;Extraction des évolutions récurrentes dans un unique graphe dynamique attribué;Un grand nombre d'applications nécessitent d'analyser un unique grapheattribué évoluant dans le temps. Cette tâche est particulièrement complexe car lastructure du graphe et les attributs associés à chacun de ses noeuds ne sont pasfigés. Dans ce travail, nous nous focalisons sur la découverte de motifs récurrentsdans un tel graphe. Ces motifs, des séquences de sous-graphes connexes, représententles évolutions récurrentes de sous-ensembles de noeuds et de leurs attributs.Différentes contraintes ont été définies (e.g. fréquence, volume, connectivité,non redondance, continuité) et un algorithme original a été proposé. Lesexpérimentations réalisées sur des jeux de données synthétiques et réelles démontrentl'intérêt de l'approche proposée et son passage à l'échelle.;Zhi Cheng, Frédéric Flouvat, Nazha Selmaoui-Folcher;http://editions-rnti.fr/render_pdf.php?p1&p=1002273;http://editions-rnti.fr/render_pdf.php?p=1002273;8;Grenoble;45.188557;5.724552
1217;Revue des Nouvelles Technologies de l'Information;EGC;2017;Extraction et chaînage supervisés de connaissances d'un corpus d'entretiens en histoire des sciences;;Benjamin Hervy, Matthieu Quantin, Pierre Teissier;http://editions-rnti.fr/render_pdf.php?p1&p=1002311;http://editions-rnti.fr/render_pdf.php?p=1002311;11;Grenoble;45.188558;5.724553
1218;Revue des Nouvelles Technologies de l'Information;EGC;2017;Extraction et Inférence de Connaissances à partir d'Assemblages Mécaniques Définis par une Représentation CAO 3D;L'extraction de connaissances à partir de modèles géométriques 3Det les raisonnements associés constituent un enjeu important pour permettre ledéveloppement d'ontologies capables de décrire fonctionnellement des produitsmanufacturés. Dans ce contexte, nous nous appuyons sur la logique déductiveapportée par une base de connaissances étroitement couplée à un modeleur géométrique3D. Les raisonnements faisant appel au concept de forme 3D restentdifficiles à formaliser et les informations géométriques difficiles à extraire. Nousproposons une formalisation de propriétés telles que 'à la même forme que','est de la même famille que' pour montrer comment l'extraction d'informationsgéométriques 3D est reliée à ces propriétés. Par la suite, une formalisation depropriétés telles que 'est un empilage', 'est un regroupement' est introduite pourmontrer les raisonnements qui contribuent à la structuration d'assemblages 3D.Ces propriétés sont illustrées à l'aide d'un exemple de pompe hydraulique.;Harold Vilmart, Jean-Claude Léon, Federico Ulliana;http://editions-rnti.fr/render_pdf.php?p1&p=1002266;http://editions-rnti.fr/render_pdf.php?p=1002266;11;Grenoble;45.188559;5.724554
1219;Revue des Nouvelles Technologies de l'Information;EGC;2017;Face2Graph: Base de données graphe et visualisation pour l'annotation d'archives vidéos;Nous proposons dans ce travail d'utiliser la flexibilité des modèlesde base de données graphe, et la représentation intuitive du réseau social afinde visuellement explorer, annoter, et vérifier des détections de visages dans unearchive de 15 années de journaux télévisés.;Adrien Dufraux, Benjamin Renoust, Shin’Ichi Satoh;http://editions-rnti.fr/render_pdf.php?p1&p=1002322;http://editions-rnti.fr/render_pdf.php?p=1002322;13;Grenoble;45.188560;5.724555
